Indicator,Average,Ones,Zeros,NAs
accoci_mrq,-338582833.6024588,0,6685,769
accoci_mrt,-338594476.73939097,0,6683,775
assets_mrq,41059075376.896095,0,2,771
assets_mrt,41046749597.78874,0,2,777
bvps_mrq,21.72814593685949,0,11,872
bvps_mrt,21.759945527759754,0,10,893
capex_mrq,-185027477.97425145,0,1994,258
capex_mrt,-734113158.4137458,0,1856,1017
cashneq_mrq,2950401184.4369698,0,246,769
cashneq_mrt,2949349102.408325,0,246,775
cashnequsd_mrq,2950401184.4369698,0,246,769
cashnequsd_mrt,2949349102.408325,0,246,775
consolinc_mrq,250453469.02820334,0,26,151
consolinc_mrt,984153606.2192726,0,3,883
cor_mrq,2018938102.3069055,0,6347,150
cor_mrt,7970346702.397626,0,6192,879
de_mrq,1.5750447730419168,29,3,791
de_mrt,1.5747675572968847,29,3,797
debt_mrq,13547627101.88298,0,3916,769
debt_mrt,13541438528.873163,0,3916,775
debtusd_mrq,13547627101.88298,0,3916,769
debtusd_mrt,13541438528.873163,0,3916,775
deferredrev_mrq,365841735.85451573,0,47121,771
deferredrev_mrt,365871198.2531364,0,47116,777
depamor_mrq,171357427.7854147,0,3142,264
depamor_mrt,674107938.8121158,0,1369,1025
deposits_mrq,8121461425.704585,0,59469,771
deposits_mrt,8121719186.123277,0,59465,777
divyield_mrq,0.018744657850701184,0,22000,1160
divyield_mrt,0.018744398868667727,0,22001,1158
dps_mrq,0.22481925781420606,110,25358,0
dps_mrt,0.8820861478859905,693,22942,28
ebit_mrq,400765576.2128892,0,13,151
ebit_mrt,1581471726.823393,0,3,883
ebitda_mrq,572480852.3027318,0,7,272
ebitda_mrt,2257038451.106933,0,1,1058
ebitdamargin_mrq,-0.18327939585343758,4,31,295
ebitdamargin_mrt,0.05680410221525537,4,42,1067
ebitdausd_mrq,572480852.3027318,0,7,272
ebitdausd_mrt,2257038451.106933,0,1,1058
ebitusd_mrq,400765576.2128892,0,13,151
ebitusd_mrt,1581471726.823393,0,3,883
ebt_mrq,345037450.68932563,0,22,151
ebt_mrt,1361646561.8379643,0,4,883
eps_mrq,-0.48068093841642223,227,266,489
eps_mrt,-6.24409825534819,126,67,1283
epsdil_mrq,-0.6014218878570584,225,278,633
epsdil_mrt,-6.73146910714286,137,70,1489
